Name	Mass	SpinCode	Parity	IdZero	IdPlus	SelfConjugate	S	C	B
pi	0.137	1	-1	111	211	True	0	0	0
K	0.496	1	-1	311	321	False	+1	0	0
K*_0(700)	0.824	1	+1	9000311	9000321	False	+1	0	0
K*_0(1430)	1.425	1	+1	10311	10321	False	+1	0	0
K*	0.892	3	-1	313	323	False	+1	0	0
K*(1410)	1.421	3	-1	100313	100323	False	+1	0	0
K*(1680)	1.718	3	-1	30313	30323	False	+1	0	0
K_1(1270)	1.272	3	+1	10313	10323	False	+1	0	0
K_1(1400)	1.403	3	+1	20313	20323	False	+1	0	0
K*_2(1430)	1.426	5	+1	315	325	False	+1	0	0
B	5.279	1	-1	511	521	False	0	0	+1
